Area (sq. ft.),Labor Cost (₹),Material Type,Pipes (₹),Lights (₹),Fans (₹),Steel (₹),Bricks (₹),Total Cost (₹)
4936,107746,0,5149,14244,4641,60608,94497,9762034
3244,77986,0,6132,10578,4812,169099,67033,5828563
620,31209,0,18740,14350,7611,50122,81021,890745
2420,46553,1,12662,6325,4816,114079,87979,3282282
2184,138063,1,18106,6049,9151,88640,62985,4631391
1468,126693,1,9710,4422,7771,102819,20869,2585391
4308,61736,0,10200,4285,4825,158435,56634,6557753
3815,116316,1,18929,6062,6185,129833,72133,4486765
1604,45023,0,19130,8390,3561,110518,77162,2002583
4889,49819,0,5539,10577,3237,110064,48152,8497857
3005,97413,1,19073,3061,8978,196324,68531,5833066
4384,50436,1,19321,9411,9939,56649,56127,8486839
1232,131339,0,6821,10710,6133,170119,54521,2231104
2081,98784,1,13666,9561,3860,107207,25270,3123109
4179,83025,1,7301,3100,8246,73190,57889,7125810
4352,105919,1,16816,11658,9876,120614,38493,7448742
2927,38714,0,7540,11984,8833,193920,66824,3356283
823,66320,0,15904,6132,5207,65022,98455,1852674
4199,62235,1,7618,6504,8557,138318,82351,7302693
3492,117525,1,12372,5649,6472,99452,23978,3880036
861,98242,0,7849,14247,8003,100678,73868,1990132
2600,111755,0,16430,2843,5649,90775,22349,5326693
4997,62668,0,12893,13524,8314,143047,44632,10008838
2392,98068,0,10344,8967,7713,67783,34274,4745394
3254,79973,1,11573,7582,8578,105450,68157,4236118
1972,66276,0,10598,6649,3070,106783,46166,4138526
1606,79346,0,15348,13711,5916,142462,36533,3122979
2926,46849,1,8488,13257,6488,119876,73141,5168954
2303,65793,1,10492,8192,8547,158831,87943,4913768
2527,87297,1,15995,12029,8615,190316,22730,3926989
580,78287,0,17565,5142,9175,185366,93580,1509309
3468,32537,0,8482,2245,4235,170783,75822,5862617
3041,62867,1,18502,14289,7942,141228,62363,5209834
4239,38307,0,15906,7110,3462,135208,29615,7206796
3488,59051,0,18332,8019,7805,74163,31497,6317378
824,84866,0,10794,7967,9390,67855,81011,1452497
2861,57447,1,13441,10533,6800,127462,59609,6041800
1734,40302,1,5558,8210,7224,84077,96382,2229244
602,101811,0,14777,10917,8829,137255,91909,1517620
1246,137767,0,16638,8067,9476,87839,48927,2373863
4191,110266,0,10769,4886,8194,71621,97760,8307956
3985,114610,0,16886,6152,8079,62009,77624,5739868
1747,129738,0,7331,3309,4113,125794,24494,3490039
3564,97438,1,18031,11671,5840,86915,24642,6103918
2219,65791,1,11824,11938,3051,125257,90467,4471558
2702,43739,0,10088,9622,7915,134472,36639,3822685
3805,135117,1,6724,6288,9189,176162,80427,7809237
3036,122887,0,6586,8769,8768,139403,51325,6179733
3985,111221,0,19855,11337,4315,122028,54664,6200590
2289,85214,0,9836,12087,5184,84956,90805,3493402
2264,114513,1,15097,2666,6168,61268,20417,3886368
3857,69286,1,7792,2585,5209,59005,63482,4936470
3497,67707,1,11588,2353,8207,105705,95723,5623527
759,132697,1,5416,12414,8172,144297,76890,1919572
2418,94790,1,15770,12918,5156,190748,59883,3780260
2286,37139,1,16805,4614,9188,89091,61020,4286464
599,58967,0,11605,9637,6965,90868,75456,1225748
4405,58786,0,18453,5097,7960,83830,67494,5798043
2842,44828,0,5803,10235,6232,191894,96946,4709215
3733,37224,0,7950,11796,6356,82844,78348,7140240
3749,82078,1,17403,4895,7005,169575,56499,6266845
827,74173,1,16370,10715,3972,134780,42660,1785960
1851,69630,0,6569,11320,8713,98556,70397,3551430
3311,61371,1,16441,13536,3826,72429,45296,3787461
2789,106394,1,19367,13032,3317,156818,75261,3406137
1865,134308,1,13489,9255,3766,98556,96627,2535401
3662,64594,1,8232,8794,5478,165353,43103,4654461
3599,78205,1,19198,10849,6898,186720,97121,7018373
4202,63793,1,13973,9843,7794,189813,74305,6491853
1908,96321,0,8032,4386,5433,145288,66785,2587726
2010,140626,1,9507,7445,8720,61424,26410,3433054
719,80952,1,9721,8742,4017,55981,68534,1595788
2668,61114,0,13614,3862,8051,153886,41997,3324213
3686,57865,0,14309,13630,9680,104283,48128,5203362
3739,35186,0,9638,9019,7148,68415,85234,4680388
1769,102772,0,19487,14014,6027,69975,51946,3176658
4875,143887,0,18042,2776,5427,180504,81303,5974009
4317,87704,0,8971,7825,8709,131701,87163,8021062
567,69369,0,12629,3663,5161,69488,75916,921061
2171,82549,0,12523,13385,9019,135344,65067,2616111
1242,63994,0,16077,2755,6041,180966,35480,2678611
2512,98176,1,13727,6654,7955,169026,65842,3810409
2205,149738,1,7265,13185,8431,123074,87819,3803065
1946,66417,0,14569,14607,7353,120158,63556,2429190
3569,142936,0,8648,9532,9288,116057,40676,5607335
790,125153,0,12894,5695,5550,71907,30991,1218014
4179,91700,1,14315,2302,6887,164530,95479,8166154
4410,94276,0,5420,3098,9098,105676,47255,7822480
852,68405,1,12473,9618,7955,126897,60290,1802774
1763,65971,1,11572,3404,9757,193572,85669,3610308
2326,105528,1,15554,3321,4313,92808,68073,3398785
4878,90740,1,5314,2304,4704,186237,55700,7535897
2105,135539,0,11233,8173,9917,90814,47403,2590310
4336,37293,0,18706,6103,3261,105931,52372,4853579
3898,72376,0,7486,7540,9683,150855,42978,5471716
3506,94314,0,10370,14116,4159,61495,77843,6652841
1504,54234,0,6600,2007,4664,162408,31171,2663972
2578,87679,1,10355,11966,4359,156541,33568,4076855
2995,126284,1,16340,3214,7585,196877,98042,6439477
2761,52322,0,7617,12762,5002,169228,78288,4307048
4264,130265,1,5099,14543,5269,79224,73909,6671610
2237,102483,1,14082,12472,8455,112606,83326,4890712
3596,30843,0,14003,8520,6040,105851,61514,4295151
2944,79145,1,18285,2697,8242,140752,91093,4136741
836,56216,1,16724,6001,3975,171854,36020,1605754
3483,148828,0,14613,4726,4546,65552,23188,5734263
1467,145812,1,9043,8799,4933,92100,83323,2128246
1171,92689,0,13436,3923,4763,50387,31941,1753190
1803,85714,1,8452,5423,6605,52896,53370,2512595
3170,149399,1,15291,11828,5262,84089,88943,6318982
3106,138805,0,11305,2429,3414,190844,21227,6066353
2214,79916,1,16454,11926,3626,137652,24886,3119459
3095,138196,1,15361,7388,9869,62697,81618,4856225
3470,73299,0,16674,5153,9528,183914,64279,6084046
3769,94723,1,6013,11897,7034,102902,98573,4371669
3101,37403,1,19091,14193,9087,75372,46717,6142931
978,51013,0,9389,8156,3652,56509,82833,1689333
1343,88436,0,5245,9068,7786,90469,77759,1926004
2125,31604,1,17259,14157,3512,71076,62427,3268139
2380,72229,1,14399,13182,6612,80100,21428,4833925
4151,42862,0,8520,3220,5444,182231,69114,4565266
2617,140828,1,15585,5061,3809,107716,94474,3458155
1004,41594,0,8239,7726,9428,111421,47706,1423623
609,102042,1,14831,14554,5909,195633,39689,1118266
1905,128834,0,8476,7950,7495,100891,30027,2617785
4992,98326,0,12583,5941,6899,167872,60915,9423778
3980,89856,0,15840,5122,5721,117601,81949,6393854
850,80404,0,8595,2302,3502,156126,67355,1682901
2057,66709,1,19936,12243,3039,165458,28140,2773180
3542,107950,1,12833,9510,6010,138916,33760,4936771
3336,55233,0,15275,4078,7444,58786,44141,6581697
4128,79009,0,6039,5669,3221,55434,57975,5204043
2541,138360,0,11349,10733,4465,107014,95480,5212436
610,51617,1,18805,13348,6635,58313,72217,1335495
4804,137664,0,15913,8549,7159,74586,44291,7507481
2265,89944,1,13087,6783,4027,88865,32813,2994514
1701,101328,1,15951,8886,9063,141970,84153,3308145
3478,62723,0,14178,7479,4479,82241,96732,6828721
2972,114406,1,15662,4479,8103,181291,97375,3968184
2875,78465,1,5959,12095,4041,190424,79537,3363286
510,73415,0,7252,5000,8119,171144,33626,1185987
2801,110460,1,9252,12389,8461,98293,32922,4854667
2089,143831,0,10534,13162,8129,74326,66176,3456107
2001,114763,1,9926,10510,4906,83198,78732,3315582
628,136093,0,5298,9427,5829,93041,81437,1271615
4103,121842,1,5018,13097,6445,128142,88161,6102619
4695,140307,1,14714,6582,6437,143448,70955,5563990
789,58618,1,15377,14153,7446,170519,73693,1840852
2176,49622,0,13891,11168,5146,75773,50105,3399711
2344,86852,1,17330,12242,9972,171097,42280,4717466
4135,68052,1,19639,3360,3897,136698,93990,8622118
3193,98225,1,11439,5818,6490,192749,93576,4249694
2327,139829,0,5624,11127,7444,152951,37838,4528249
1870,44899,0,7416,4386,6909,83209,61657,3906435
4322,131636,0,17266,13238,3576,118556,21614,7758902
682,145886,1,6152,13857,8794,93300,93655,1311394
850,36954,1,6298,10955,9319,60318,35868,1871724
4086,135567,0,5375,7006,9190,137224,70602,7692072
1901,121492,0,10207,12546,8337,79282,69521,3056522
3255,61089,1,8992,13554,4244,136914,58753,5502253
3349,93015,1,10059,14111,6082,68076,82395,6140455
4935,69818,1,11359,14046,3189,184615,79571,6012107
3712,78848,0,6382,6996,6954,107900,62711,7422755
4706,117181,1,5851,7293,7181,117912,35891,9744220
4467,108593,0,10600,10215,7640,162636,33080,6276252
4427,72150,0,14499,3025,9049,141649,51779,7884832
3929,103406,0,16370,9866,9750,50398,43554,5817650
3988,113262,0,19124,3187,9473,154182,51790,4449625
2395,80806,1,13674,3007,9562,179026,59136,5136337
3408,100289,0,14239,7470,6066,158256,28987,4208339
1911,102672,1,10163,3117,6355,55433,83050,2415007
3882,123518,0,19721,10395,7630,108717,48557,7450506
2443,55564,0,14110,9290,4072,134186,78616,2821576
4499,74505,0,7528,10228,7939,102892,49806,7846701
3618,144304,0,17275,8773,3732,56814,95457,7309370
1155,79149,1,11221,11044,8121,60538,65371,1959589
849,145765,1,7365,9307,6660,117738,71046,1364911
4498,95657,1,15382,2633,6694,117189,30316,5847750
1643,82347,1,13095,12983,5201,180372,58419,3653513
897,97750,0,9611,11444,7240,116562,65578,1622636
1145,82143,1,18523,6514,8418,197432,88969,2266856
4632,137329,1,15239,14181,4632,120502,71891,5818649
2734,89022,0,11013,11708,4338,117571,86169,5563679
3272,64837,0,10918,7859,9008,81584,67754,5206010
1983,84547,0,19138,6980,3725,108427,90038,3344585
2734,40076,1,6734,10519,8953,91555,61680,4628430
2483,107784,1,6536,9523,8705,107154,46974,4775068
2462,31962,0,15564,3030,7902,96277,23374,3139779
1309,50407,1,14741,4562,5585,50848,21553,2790205
3696,120519,0,6245,12243,4757,89802,20252,4598114
4915,124689,0,7533,10919,5965,170622,58502,6263524
1013,101978,1,6814,12284,9858,131859,74226,1462588
833,85572,0,8526,12444,8909,154965,61878,1181690
3012,77919,1,14323,11416,7439,72975,96894,4684637
4595,114289,0,11630,9059,8049,162461,39899,5781142
507,122274,0,17657,7331,8234,128829,74615,973374
2503,48703,0,19965,13396,4289,171286,79580,5313003
4759,82391,0,16151,2685,3481,74389,83029,9443731
2628,136260,1,9488,5140,8229,68754,56698,3859976
1798,35555,0,9214,8080,6736,153268,32447,2660297
3446,31892,0,6773,4025,3404,82199,87021,4667884
2344,69175,1,17641,12894,9076,63439,75451,4759625
4111,106025,0,13957,7648,6701,100088,67531,4817003
3565,76541,1,11046,4379,8754,117683,99151,6064820
1602,110749,1,16196,2429,7006,138863,89653,2365352
1179,77542,1,6580,4807,3716,133952,72071,2471530
3869,82990,0,14853,8883,4857,50241,83716,6557270
4547,119429,1,14862,3194,5810,174972,37196,6765987
3323,97025,0,13178,14665,8253,87919,53051,3923107
509,125289,1,6087,10397,9656,138603,52740,1342383
4753,56628,1,19593,7722,6576,173629,89698,5572999
3331,66777,1,12173,13889,3283,97885,45069,4581912
4447,111518,0,17139,13285,5773,187868,84180,5994723
4716,122012,1,18628,3160,9054,135980,87174,7920331
2686,97357,1,8489,13566,3123,108801,93733,4490956
1173,123022,0,11160,4846,6473,126967,87213,1860819
2527,108088,1,17569,5084,4555,76736,67651,3994241
1956,113192,1,13011,14801,4355,159168,98678,3312738
543,126350,1,7600,11582,6540,133229,79468,1319211
4693,72846,0,7489,9117,8978,74109,90187,9171160
4109,89176,1,11509,13095,5361,85840,55565,5052746
2394,106594,0,12522,5817,4969,101617,62028,4022672
4281,104424,0,19690,9060,8800,103434,88978,4694067
2786,149524,0,16573,11970,3609,120080,78991,5111989
3071,106092,1,14628,8828,8777,54849,68040,5398863
1915,116134,1,5815,7502,5113,110481,38181,3627266
508,80921,0,18285,4021,7340,180434,35469,1075740
2362,49225,0,13030,8407,8069,52979,37798,2972867
1733,138745,0,13423,14841,5406,62208,38642,2782789
3625,119861,1,14676,7512,8440,81431,30590,4073052
2957,74084,1,12257,14781,3125,112550,51068,4452770
509,130668,1,12317,8588,3731,84744,86606,1362488
3504,123856,0,16847,11043,5330,90674,78859,5017015
767,100899,0,13039,13588,7125,190426,69002,1614954
4361,111836,0,6478,4914,4621,69433,79970,5776974
3214,31117,1,9484,6904,3331,55932,57616,3909759
3141,127831,1,6331,5996,5815,84512,95468,5203170
4306,37447,1,6280,6555,7480,101427,66076,4785265
1891,90507,0,7421,7685,8344,174600,41607,3931535
1582,47196,1,16815,14959,8416,136033,86023,3220943
793,128341,1,7239,5294,6311,149334,83975,2064843
4579,32460,0,16786,8878,8112,100372,41815,9335216
3335,83490,1,6405,13200,5416,160991,47659,6183329
4705,142590,1,12603,10056,3768,175892,46628,8850867
2654,50103,1,15079,3578,9788,131993,22764,4388859
2844,86383,1,15374,6676,4668,193358,30678,3902674
4423,104582,0,13370,14146,8190,91372,54635,8284883
2354,74906,0,11365,10399,5329,96095,80233,3267185
4368,105976,0,13084,3295,9448,74835,37934,7451706
4290,130658,0,13742,12132,4861,83856,46177,7716888
3532,99578,1,11127,12400,8721,169879,73345,6000127
1344,89141,0,17843,10857,4852,83755,51798,2492951
2207,79326,0,9074,5862,3258,194000,34040,3179015
2507,74023,0,10432,2088,6661,193865,91606,4792287
1773,110865,0,9904,14627,9832,72235,86862,3750235
4934,145359,1,16558,13310,8389,157650,69903,7833252
2604,63461,0,10779,7880,3531,85569,48668,3138913
3467,104275,1,10653,5824,4465,170408,81031,6092219
4742,35976,1,9252,5189,3427,138888,24365,6678077
1712,129426,1,10933,7795,3136,133300,87214,2901312
2795,82449,0,18763,5874,9846,55578,94914,3486216
2697,148674,1,19338,12410,6577,176225,76293,4924266
3784,147284,0,13392,2416,7545,178105,80574,7192268
2764,34368,0,12556,12756,6685,105931,87272,5142008
2110,33023,1,8895,8915,7200,59336,74534,4498993
1918,104511,1,14538,4617,7394,87459,54597,2698109
2286,121321,1,9440,6531,9975,69206,79774,4771976
4899,137435,1,7463,4247,7192,160703,69024,8974162
3982,91891,1,7144,13722,3811,133344,80807,7229926
2377,77664,1,11097,3898,9148,60819,74021,4338940
3407,80680,0,13812,12673,4399,88691,76142,5517605
879,79245,0,11883,9817,6726,75309,92690,1487503
3800,39522,1,6777,14666,6820,99152,51251,7702901
1193,72721,0,8880,11021,5559,95814,89712,1656953
4076,69428,0,11684,7919,5934,145522,22655,5056445
4645,44176,0,18670,6911,7089,106395,86746,4992626
1947,116969,0,18166,3242,8025,128224,27334,3688542
2890,114141,0,6132,8320,7279,155115,33275,5797878
2255,49126,1,19858,7585,4224,197231,93353,3145907
3584,31096,1,5954,2889,3345,87613,76036,4014294
2379,120111,0,19430,9330,4053,67279,51905,3231831
3309,59840,0,5131,11499,7919,142690,72940,6533077
1347,84155,1,5604,12048,7219,146754,28778,1753356
3471,76743,1,9661,12649,3469,109983,72061,4206680
4561,48487,0,12409,8841,5968,81491,85750,4917918
1695,147430,1,6400,12245,9467,196836,85212,3851229
2012,100265,1,16458,9217,8934,106829,55130,2681465
4402,110765,0,17545,4864,9427,167360,93482,8769084
3820,132603,0,17267,8585,4013,70594,52268,5913865
2957,115582,1,17131,10408,6364,179597,94045,4647722
3962,136511,0,16085,11424,7937,179874,73211,6076883
3950,79277,0,11447,10537,7168,194075,43409,5949656
726,94086,0,7548,3428,6322,140148,36454,1262082
2307,61185,0,19915,4655,7095,162603,72586,4505552
4808,77893,1,17075,12264,8246,62188,20653,7548762
918,52381,0,19525,10040,8923,91602,70949,2081140
2375,78555,1,10759,13765,3896,106004,40717,3958403
3655,139918,0,6885,7182,5269,152292,93246,7051315
1418,84826,0,5338,2338,3330,180593,23964,2774936
4554,99710,0,15258,2321,9296,163369,49746,6720321
4318,41764,0,10803,6258,9440,199382,48560,8039534
4771,88132,0,11558,2335,6766,89399,88627,5797168
3131,51882,0,19397,7362,3580,131708,87385,4068977
4174,69175,0,5910,7271,9874,97928,99601,7046962
1845,65120,0,8996,7214,4494,133679,60409,3437747
2329,138007,1,19402,4025,8176,52676,80913,4231676
2163,36883,1,18010,10598,6572,167653,80532,3685174
4919,99756,1,14045,12576,6074,78485,65722,5972548
584,149525,1,9270,2096,3903,175588,58412,1300485
4312,58293,1,13019,4852,8935,116918,64519,7286826
1386,54656,0,10500,4403,9714,141696,53284,1973586
3839,72604,0,17278,5134,4904,192382,65712,6645666
4707,95710,0,9614,5831,5851,60138,77231,6064134
3175,143788,0,5896,12679,3694,85413,75643,3812813
3297,71307,1,13424,8462,9734,86267,42417,4697954
4647,40104,1,7758,8930,8964,152801,82462,6315505
2631,55966,1,17821,2916,4501,88851,26783,5060121
4194,80710,1,14016,13879,3168,191036,26365,6651450
3259,47822,0,13316,4130,6145,61237,56575,3656938
3278,32925,0,16848,7529,3570,159883,27762,6199945
1240,102522,0,5697,12344,6613,123964,60764,1885077
3376,126829,1,6061,10370,5136,112303,44238,5698080
2211,34819,1,5247,7691,4341,155194,84839,3800441
555,35371,0,17287,6301,7165,168188,98403,1426946
3862,100239,0,15198,8353,9966,62617,22967,5065900
3359,41984,0,6919,2633,7964,58650,99856,4064680
1306,118632,1,6611,6448,5659,141784,83287,2105922
3556,118297,1,13332,7509,3999,163676,89625,6102334
1506,112277,0,9192,14934,7191,189448,32792,2199454
4603,115317,1,10774,3723,3789,128825,57246,6589860
2281,39280,0,8663,7564,4398,181384,77162,4100474
1489,30292,0,16519,11860,7448,81908,73579,1884044
4433,100979,0,6377,12842,8110,52990,53606,8858437
3664,39182,1,17232,14167,6605,152922,26722,5971368
3869,74362,1,19313,3125,5915,199276,45872,6187898
2578,32576,1,12155,14448,7689,180543,59593,3920932
877,134582,1,11618,14216,3396,187028,51545,1594832
2877,30819,1,7863,2142,4489,118949,69276,4601281
781,74450,0,14742,14048,8910,76611,48972,1398511
3419,116145,0,19178,9716,9642,55278,93805,3914645
4664,93399,1,15209,5049,5041,170562,30544,9036017
4094,82772,1,13999,11628,6137,61409,62089,7792235
2338,54313,0,16037,11474,8389,169493,84144,3728821
4932,102248,1,16631,14234,7602,135192,55180,7023968
3392,44857,1,9630,4713,8021,58221,45059,5354878
714,57083,1,7312,3639,3146,102958,69603,1215845
2620,116608,1,13863,13384,9905,110578,23101,3009646
4293,57565,0,13496,6908,3687,85561,95315,6076549
3370,144265,1,15668,4693,9239,188127,62153,3954822
1285,143540,0,9879,2098,7985,112688,25786,1639278
1437,146612,1,6311,2215,8449,149806,87934,1980675
2189,35751,1,16032,3778,7740,107085,79084,4464919
4211,59285,0,17125,14006,9054,58992,49642,5023833
1756,101150,0,18604,8581,7329,198209,60052,2596543
3612,67402,1,17324,12711,3682,153667,38378,5776003
1837,116276,0,12842,12642,8522,168563,53401,3181589
769,115564,0,9396,12252,3330,172487,29951,1205850
1990,33207,0,13327,8456,9626,181843,35287,4081677
2621,144590,1,11631,6330,4190,120898,96908,3711212
2180,32656,1,8312,7960,6053,177492,56339,4623655
4353,47634,1,17462,9250,6941,59407,68241,5780115
909,72772,1,7851,6338,9643,93860,71546,1273367
1941,56418,0,19965,3759,7922,147810,47494,4110750
2758,109694,1,8032,3247,7844,160628,52573,4534107
1291,144915,1,19673,14973,9893,145262,27361,2887543
859,132202,1,7406,3120,9237,166938,50215,1958918
922,110632,0,17169,2320,9493,178555,87114,1492338
620,122417,0,15496,3840,4262,102495,43664,1436240
2720,125645,1,8065,14414,9065,74065,94067,3284254
4629,114793,0,12619,6995,3202,168330,76324,7360749
3465,139787,0,14433,12454,7309,176197,63447,4759129
570,62720,1,19538,4587,4289,104751,56327,1128316
4192,67907,0,19990,5562,3106,97479,33260,7592766
4229,102103,0,19590,3073,7946,89417,52365,7393522
513,134860,1,16359,8411,9517,104447,24768,1137124
4400,33460,1,12886,6178,4294,158015,31336,4948209
4119,122504,0,18659,8387,5594,85797,77377,4601730
770,90041,1,16862,10416,4024,153075,25191,1710306
3624,65282,0,13322,13793,9702,102330,68695,7335682
2083,67052,0,5626,9905,4982,142184,89195,4166801
1022,60312,1,5287,5037,8228,79095,97155,1501986
3317,123551,0,10886,6485,8230,94412,26634,3989307
3339,35504,0,7707,4635,4268,90683,61594,5581945
942,117982,0,7103,14310,4297,78419,91227,1874808
2583,115089,1,15239,2155,3315,140057,46767,4598013
3427,47048,0,7381,5274,7753,66872,47979,6643547
1721,117257,0,6634,2097,7414,146677,59001,2457639
3949,94783,0,19183,6399,3552,86304,43577,4883189
2940,143353,1,14787,8305,5769,82876,37658,6020400
2862,145871,1,16447,14891,4066,106024,55380,5371471
1394,142107,1,13878,9869,5001,178908,72054,2907964
4402,59100,0,15903,11657,5783,173732,25204,6169716
2753,110447,1,18096,14961,6365,183454,62159,4977013
2510,135043,1,17291,4792,4273,61887,32580,4689888
4690,32632,0,6611,6636,8808,112068,75265,7747312
3715,78699,1,15674,8579,8084,168900,45644,6875640
3060,98601,0,18271,8497,5736,81806,41122,5119587
3346,130193,0,18824,7586,9568,107831,79781,6985661
1545,76046,0,18069,11735,9867,60857,72613,2554332
3434,143298,0,9062,9004,6259,103428,26304,3774173
970,57694,0,10513,5983,6966,149595,74800,1433993
4879,140814,1,13032,10861,7450,159671,71128,10086084
871,47343,0,10283,10534,3598,161381,35994,1549085
3903,120269,0,10929,10275,3311,172854,89854,4780887
1903,45406,0,14186,6944,6787,194550,48395,2515793
4446,64775,0,6401,4457,4469,85374,69064,4809249
4575,92240,0,11191,8072,5676,81215,95899,5904796
3020,63489,0,6553,6078,8858,84849,33461,6202956
1507,103236,0,11744,9206,5621,193277,52173,2377781
3846,119438,1,18643,6092,7707,142879,51537,5254765
1167,110190,1,16067,4080,4705,183686,63892,2428733
1946,64022,1,16419,14062,6957,133708,74798,3667954
4466,97881,0,8570,3743,4179,112833,23459,9039009
2407,149228,1,18320,6884,3787,52121,83319,4576800
2867,128408,1,11295,5249,7642,88423,44092,3567383
2605,64429,0,13851,6479,8557,99050,56879,5421727
4868,43170,1,18785,10146,3353,92225,24608,8812441
3529,100954,0,5964,9867,7114,193816,40833,4802322
540,47475,0,15266,10406,4385,80959,58351,897887
625,137033,0,5987,6953,8127,163726,72191,1619015
1277,57296,0,13804,12636,6503,68962,98951,1781148
1335,52123,1,12366,10875,6549,168327,70128,2059197
1378,36960,0,7130,8350,4473,184997,36720,2151237
4989,78723,1,12221,11503,3783,172332,46402,8803846
1336,88408,1,19165,2570,8492,154824,73940,2357510
1024,127479,0,16406,10038,8997,93141,26044,1624839
1751,64339,1,14468,5307,4944,135662,92907,2637236
4741,65783,0,15336,7712,8772,109122,57926,5598730
1234,102542,0,9966,4476,8238,55730,21536,2110567
668,49830,0,8506,8070,5504,54401,94288,1071238
1648,113349,1,18764,2551,3925,71753,78700,2583326
799,111129,0,12719,14369,6080,169620,53111,1172257
3821,109355,1,13420,9329,8566,182292,43639,6317468
1021,46625,1,6018,10304,8287,127134,34668,2065084
1117,135390,0,14412,14888,4798,191367,37763,2551673
4084,113987,0,10290,11739,4743,131868,47524,5209217
2217,121990,1,7879,13756,9117,123910,90582,4722460
801,127149,1,19214,4045,8919,114427,53613,1517632
1152,70106,0,11657,14138,3956,61679,52207,2290099
3801,45575,0,8357,8615,6634,82635,56421,7417981
4659,126099,0,19832,5336,5599,111764,65420,9472047
3137,73848,0,19794,14007,9002,156492,57950,4489010
2779,102423,0,10734,8035,9990,192321,91247,3917550
2122,67903,1,16296,7208,3266,77402,22915,3349745
4914,119370,1,18064,7486,7424,141901,74511,8108322
2181,128604,1,6546,2215,6087,89087,78964,4098808
591,107988,0,18691,10461,5328,90247,31344,1263958
4206,131132,0,6611,13140,4439,132868,55415,5040233
1460,140258,0,8977,13055,4004,59369,60442,2639358
4659,100913,0,10107,11016,8833,132312,22005,5726286
1343,134011,1,9149,14859,4929,190651,82957,2834923
718,123800,1,15570,8901,9621,82714,58658,1818448
1203,65168,1,19432,10490,8560,82448,71670,2488160
746,115078,1,17792,3237,8715,101557,46890,1657541
4537,145708,0,17435,12833,6041,117564,79103,5267231
556,129853,1,9612,9002,7160,63367,21390,999039
4459,73878,0,12662,8207,7255,157803,25405,6328227
2358,109792,1,15519,2769,4639,68334,62467,4922660
2412,103501,1,9511,8773,4886,105233,55394,3597408
4721,36902,0,19325,8975,8295,80289,56527,8773129
766,112797,0,5555,11704,4589,108089,23879,1112086
3982,110624,0,13397,10519,5122,70432,57731,6885917
2180,102545,0,19226,8679,4657,159150,51445,4224159
3693,49464,1,14193,3409,3552,138034,65553,6072215
2031,33534,0,8863,5386,5552,53514,43499,3738812
2506,107335,1,5117,6709,8458,185383,48199,4780706
4728,37791,1,7527,8107,5929,55412,46829,7244759
3950,39512,1,8851,2417,7668,60269,30561,7618078
1519,126187,1,8761,8455,4158,195745,33706,2514946
817,51720,0,16092,11675,3948,100394,36841,1385229
2100,44563,0,10490,2369,6049,127199,72710,3497088
1210,82255,1,11371,4052,9757,173859,64168,1813607
3696,114756,1,18592,2108,5100,70328,97976,6009474
950,134617,0,14650,3915,7323,77694,68644,1564753
2381,92694,0,10236,2182,6936,100971,65365,3270504
2243,114037,1,15893,5363,9243,151268,48098,3980742
1823,72094,1,10703,4887,8017,190540,55083,2865190
4060,90504,1,9636,10029,6548,177599,53669,7981346
3180,124209,0,14240,7814,7924,82968,76052,4796941
4737,60622,0,11230,13913,6420,100623,73449,6959816
3551,98253,1,18498,11300,8154,162855,76918,7513854
2851,120046,1,19947,11389,7354,191964,99141,4374534
3204,52798,1,8000,10755,4389,177197,81341,4059760
3140,119361,1,12422,9905,6552,166854,25284,6332849
4625,57167,1,10515,14001,9463,55229,20507,9132999
3948,77373,1,7225,2643,9282,187076,81161,5306784
1194,38381,0,15379,6279,9021,167305,33371,2516935
4753,40961,0,14297,3290,9273,118883,98733,7389065
2693,131683,0,10987,4517,7044,57281,88163,3109636
839,44349,0,17719,5176,3807,67920,45251,1483691
2268,140053,0,7993,9868,4406,171878,70183,4597398
591,142333,1,13722,11878,3617,199024,37688,1333681
4924,129873,0,17655,9549,3910,93704,99389,7991204
671,115845,1,9862,5184,5146,113696,29842,1144927
3249,47871,0,15292,14257,6485,159237,89819,6318258
3602,55143,1,17834,10477,7869,98577,54532,4331450
1120,50207,1,8440,2122,3020,169390,72913,1631852
1488,93412,1,17954,10152,4759,95493,35812,3234716
576,99040,1,16842,8140,8560,57332,45425,1414459
2698,32622,0,6996,2087,8814,177844,60927,4538302
4737,133823,0,13933,14824,3851,160982,22089,5589353
730,59477,0,6074,2541,8474,68403,83238,1356776
2675,30913,1,12528,14966,3702,81488,60963,5442011
3407,93766,1,16154,10171,5355,74541,33086,5826366
3044,43055,0,19378,6047,6876,165857,57967,3946616
4112,133533,1,18858,13849,9601,145657,34396,8292670
3357,87391,0,19862,14254,7852,142966,78754,6613415
2053,51585,1,15895,11083,7616,155802,29134,3546258
4864,57309,1,5866,8026,9778,186760,84002,9461052
3165,40864,1,18380,11800,8477,141621,38434,3702962
4240,51781,1,8782,6515,6183,132116,53244,6554029
1461,124588,0,15324,5695,3723,150812,68899,2090229
2127,108133,1,14384,2691,9099,60768,48730,4252254
2467,30541,0,9021,6612,4282,78358,59970,5051712
3831,133166,1,19016,14107,7372,58459,36692,7765321
1574,61983,0,15269,10905,9471,67622,29615,2561135
3704,39398,0,14362,3279,9259,136454,47826,5847311
1528,54759,0,9183,14941,9134,87917,38585,3130292
